AquaCrop,5.0,(October,2015),-,Output,created,on,(date),:,8/15/2017,at,(time),:,7:52:31,PM

Period,Day1,Month1,Year1,Rain,ETo,GD,CO2,Irri,Infilt,Runoff,Drain,Upflow,E,E/Ex,Tr,Tr/Trx,SaltIn,SaltOut,SaltUp,SaltProf,Cycle,SaltStr,FertStr,TempStr,ExpStr,StoStr,BioMass,Brelative,HI,Yield,WPet,DayN,MonthN,YearN,File
d,m,y,d,mm,mm,°C.day,ppm,mm,mm,mm,mm,mm,mm,%,mm,%,ton/ha,ton/ha,ton/ha,ton/ha,days,%,%,%,%,%,ton/ha,%,%,ton/ha,kg/m3
Day,22,3,2000,0.0,2.6,1.4,369.41,0.0,0.0,0.0,0.0,0.0,0.1,3,0.0,-9,0.000,0.000,0.000,0.000,-9,-0,44,-0,0,0,0.000,-9,-9,-9,-9,22,3,2000,TOMATO2.PRO
Day,23,3,2000,0.0,3.4,3.5,369.41,47.0,47.0,0.0,0.0,0.0,3.4,100,0.0,-9,0.000,0.000,0.000,0.000,-9,-0,44,-0,0,0,0.000,-9,-9,-9,-9,23,3,2000,TOMATO2.PRO
Day,24,3,2000,0.0,2.7,3.9,369.41,36.0,36.0,0.0,0.0,0.0,3.0,100,0.0,-9,0.000,0.000,0.000,0.000,-9,-0,44,-0,0,0,0.000,-9,-9,-9,-9,24,3,2000,TOMATO2.PRO
Day,25,3,2000,0.0,2.7,6.0,369.41,0.0,0.0,0.0,0.0,0.0,3.0,100,0.0,-9,0.000,0.000,0.000,0.000,-9,-0,44,-0,0,0,0.000,-9,-9,-9,-9,25,3,2000,TOMATO2.PRO
Day,26,3,2000,0.6,2.2,8.0,369.41,3.0,3.6,0.0,0.0,0.0,2.4,100,0.0,100,0.000,0.000,0.000,0.000,1,0,44,0,0,0,0.003,100,-9,-9,-9,26,3,2000,TOMATO2.PRO
Day,27,3,2000,0.8,2.1,6.8,369.41,9.0,9.8,0.0,0.0,0.0,2.3,100,0.0,100,0.000,0.000,0.000,0.000,2,0,44,0,0,0,0.003,100,-9,-9,-9,27,3,2000,TOMATO2.PRO
Day,28,3,2000,0.0,2.8,8.6,369.41,11.0,11.0,0.0,0.0,0.0,2.7,100,0.1,100,0.000,0.000,0.000,0.000,3,0,44,0,0,0,0.003,100,-9,-9,-9,28,3,2000,TOMATO2.PRO
Day,29,3,2000,0.0,3.3,8.6,369.41,9.0,9.0,0.0,0.0,0.0,3.2,100,0.1,100,0.000,0.000,0.000,0.000,4,0,44,0,0,0,0.004,100,-9,-9,-9,29,3,2000,TOMATO2.PRO
Day,30,3,2000,0.0,3.0,6.0,369.41,8.0,8.0,0.0,0.0,0.0,3.2,100,0.1,100,0.000,0.000,0.000,0.000,5,0,44,0,0,0,0.004,100,-9,-9,-9,30,3,2000,TOMATO2.PRO
Day,31,3,2000,0.0,3.4,4.3,369.41,8.0,8.0,0.0,0.0,0.0,3.3,100,0.1,100,0.000,0.000,0.000,0.000,6,0,44,0,0,0,0.005,100,-9,-9,-9,31,3,2000,TOMATO2.PRO
Day,1,4,2000,0.0,3.2,6.0,369.41,10.0,10.0,0.0,0.0,0.0,3.3,100,0.1,100,0.000,0.000,0.000,0.000,7,0,44,0,0,0,0.005,100,-9,-9,-9,1,4,2000,TOMATO2.PRO
Day,2,4,2000,0.0,3.5,4.6,369.41,10.0,10.0,0.0,0.0,0.0,3.4,100,0.1,100,0.000,0.000,0.000,0.000,8,0,44,0,0,0,0.006,100,-9,-9,-9,2,4,2000,TOMATO2.PRO
Day,3,4,2000,0.4,1.8,5.5,369.41,10.0,10.4,0.0,0.0,0.0,1.9,100,0.1,100,0.000,0.000,0.000,0.000,9,0,44,0,0,0,0.007,100,-9,-9,-9,3,4,2000,TOMATO2.PRO
Day,4,4,2000,0.0,3.2,10.3,369.41,10.0,10.0,0.0,0.0,0.0,3.0,100,0.1,100,0.000,0.000,0.000,0.000,10,0,44,0,0,0,0.008,100,-9,-9,-9,4,4,2000,TOMATO2.PRO
Day,5,4,2000,0.0,3.2,8.8,369.41,9.0,9.0,0.0,0.0,0.0,3.0,100,0.2,100,0.000,0.000,0.000,0.000,11,0,44,0,0,0,0.009,100,-9,-9,-9,5,4,2000,TOMATO2.PRO
Day,6,4,2000,0.4,2.9,7.8,369.41,10.0,10.4,0.0,0.0,0.0,3.0,100,0.2,100,0.000,0.000,0.000,0.000,12,0,44,0,0,0,0.010,100,-9,-9,-9,6,4,2000,TOMATO2.PRO
Day,7,4,2000,0.2,2.2,2.3,369.41,11.0,11.2,0.0,0.0,0.0,2.3,100,0.1,100,0.000,0.000,0.000,0.000,13,0,44,0,0,0,0.011,100,-9,-9,-9,7,4,2000,TOMATO2.PRO
Day,8,4,2000,0.0,3.0,2.0,369.41,11.0,11.0,0.0,0.0,0.0,2.8,100,0.2,100,0.000,0.000,0.000,0.000,14,0,44,0,0,0,0.012,100,-9,-9,-9,8,4,2000,TOMATO2.PRO
Day,9,4,2000,0.0,2.2,0.8,369.41,10.0,10.0,0.0,0.0,0.0,2.2,100,0.2,100,0.000,0.000,0.000,0.000,15,0,44,0,0,0,0.014,100,-9,-9,-9,9,4,2000,TOMATO2.PRO
Day,10,4,2000,0.8,1.4,3.1,369.41,10.0,10.8,0.0,0.0,0.0,1.4,100,0.1,100,0.000,0.000,0.000,0.000,16,0,44,0,0,0,0.016,100,-9,-9,-9,10,4,2000,TOMATO2.PRO
Day,11,4,2000,0.2,2.8,5.9,369.41,11.0,11.2,0.0,0.0,0.0,2.5,100,0.3,100,0.000,0.000,0.000,0.000,17,0,44,0,0,0,0.018,100,-9,-9,-9,11,4,2000,TOMATO2.PRO
Day,12,4,2000,0.0,3.8,7.3,369.41,10.0,10.0,0.0,0.0,0.0,3.4,100,0.4,100,0.000,0.000,0.000,0.000,18,0,44,0,0,0,0.020,100,-9,-9,-9,12,4,2000,TOMATO2.PRO
Day,13,4,2000,0.0,3.6,10.0,369.41,10.0,10.0,0.0,0.0,0.0,3.4,100,0.5,100,0.000,0.000,0.000,0.000,19,0,44,0,0,0,0.023,100,-9,-9,-9,13,4,2000,TOMATO2.PRO
Day,14,4,2000,0.0,2.9,9.3,369.41,12.0,12.0,0.0,0.0,0.0,2.8,100,0.4,100,0.000,0.000,0.000,0.000,20,0,44,0,0,0,0.025,100,-9,-9,-9,14,4,2000,TOMATO2.PRO
Day,15,4,2000,0.0,3.3,10.8,369.41,12.0,12.0,0.0,0.0,0.0,2.8,100,0.5,100,0.000,0.000,0.000,0.000,21,0,44,0,0,0,0.028,100,-9,-9,-9,15,4,2000,TOMATO2.PRO
Day,16,4,2000,0.0,4.2,10.5,369.41,12.0,12.0,0.0,0.0,0.0,3.5,100,0.7,100,0.000,0.000,0.000,0.000,22,0,44,0,0,0,0.032,100,-9,-9,-9,16,4,2000,TOMATO2.PRO
Day,17,4,2000,0.0,3.9,8.3,369.41,12.0,12.0,0.0,0.0,0.0,3.5,100,0.8,100,0.000,0.000,0.000,0.000,23,0,44,0,0,0,0.036,100,-9,-9,-9,17,4,2000,TOMATO2.PRO
Day,18,4,2000,0.0,2.1,7.5,369.41,12.0,12.0,0.0,0.0,0.0,1.8,100,0.5,100,0.000,0.000,0.000,0.000,24,0,44,0,0,0,0.040,100,-9,-9,-9,18,4,2000,TOMATO2.PRO
Day,19,4,2000,0.0,3.1,9.0,369.41,12.0,12.0,0.0,0.0,0.0,2.4,100,0.8,100,0.000,0.000,0.000,0.000,25,0,44,0,0,0,0.045,100,-9,-9,-9,19,4,2000,TOMATO2.PRO
Day,20,4,2000,0.0,2.7,10.5,369.41,12.0,12.0,0.0,0.0,0.0,2.2,100,0.8,100,0.000,0.000,0.000,0.000,26,0,44,0,0,0,0.050,100,-9,-9,-9,20,4,2000,TOMATO2.PRO
Day,21,4,2000,0.0,3.8,11.6,369.41,12.0,12.0,0.0,7.5,0.0,2.7,100,1.2,100,0.000,0.000,0.000,0.000,27,0,44,0,0,0,0.056,100,-9,-9,-9,21,4,2000,TOMATO2.PRO
